AA Battery&[16.0714,0.0000,0.0000,21.4286,17.8571,5.3571,3.5714,5.3571,23.2143,10.7143,25.0000]&72
Armor Plating&[22.0000,0.0000,0.3333,22.3333,18.0000,5.3333,2.3333,15.6667,19.0000,0.0000,25.0000]&390
Battleship Hull&[12.5000,0.0000,0.0000,16.6667,16.6667,12.5000,8.3333,12.5000,25.0000,16.6667,16.6667]&33
Bomber Hull&[19.7368,0.0000,1.3158,25.0000,18.4211,15.7895,2.6316,15.7895,14.4737,19.7368,19.7368]&116
Cannon&[25.0000,0.0000,0.0000,25.0000,25.0000,7.6923,7.6923,7.6923,17.3077,9.6154,3.8462]&67
Capital Ship Drive&[23.2143,0.0000,0.0000,17.8571,25.0000,17.8571,21.4286,19.6429,0.0000,25.0000,21.4286]&96
Carrier Hull&[21.4286,0.0000,0.0000,14.2857,17.8571,25.0000,3.5714,10.7143,7.1429,14.2857,14.2857]&36
Colony Ship Hull&[17.1875,1.5625,0.0000,19.5313,18.7500,7.8125,14.0625,12.5000,9.3750,5.4688,25.0000]&168
Command Frigate&[20.0000,0.0000,0.0000,25.0000,15.0000,20.0000,0.0000,0.0000,10.0000,10.0000,0.0000]&20
Copper Mine&[19.4444,2.7778,22.2222,22.2222,25.0000,8.3333,8.3333,0.0000,8.3333,0.0000,5.5556]&44
Corvette Hull&[22.7500,0.5000,0.0000,25.0000,21.0000,22.0000,21.0000,3.5000,17.0000,21.0000,23.0000]&707
Destroyer Hull&[15.6250,0.0000,0.0000,23.4375,23.4375,25.0000,7.8125,17.1875,23.4375,17.1875,23.4375]&113
Diamond Mine&[0.0000,25.0000,12.5000,12.5000,25.0000,0.0000,0.0000,0.0000,12.5000,0.0000,12.5000]&8
Drilling Rig&[25.0000,0.0000,12.5000,6.2500,6.2500,0.0000,6.2500,0.0000,0.0000,6.2500,12.5000]&12
Empire Administration&[0.0000,0.0000,0.0000,21.1900,21.7800,7.0000,14.3450,7.8200,3.0000,5.8700,25.0000]&106.005
Energy Shield&[19.6809,0.0000,0.5319,23.4043,25.0000,4.2553,2.6596,20.2128,20.2128,20.7447,9.0426]&274
Entertainment Facility&[18.3333,0.0000,0.0000,15.0000,21.6667,18.3333,25.0000,6.6667,10.0000,13.3333,25.0000]&92
Farm&[21.3415,18.2927,0.0000,22.5610,25.0000,0.0000,12.1951,3.6585,0.0000,0.0000,5.4878]&178
Fighter Hull&[20.9559,0.0000,0.0000,18.3824,22.0588,16.5441,11.3971,2.5735,20.2206,15.0735,25.0000]&414
Genesis Hull&[0.0000,7.0000,25.0000,23.0000,21.0000,7.0000,5.0000,1.0000,2.0000,1.0000,20.0000]&112
Gold Mine&[10.0000,0.0000,25.0000,15.0000,15.0000,5.0000,15.0000,5.0000,5.0000,0.0000,15.0000]&22
Guided Missile Launcher&[25.0000,0.0000,0.0000,18.0000,20.0000,14.0000,17.0000,13.0000,13.0000,5.0000,21.0000]&146
Gun Battery&[8.3333,0.0000,0.0000,8.3333,25.0000,0.0000,0.0000,8.3333,16.6667,0.0000,0.0000]&8
Hospital&[16.6667,0.0000,0.0000,16.6667,8.3333,0.0000,0.0000,25.0000,0.0000,16.6667,8.3333]&11
Iron Mine&[20.0000,2.5000,20.0000,20.0000,25.0000,5.0000,2.5000,7.5000,7.5000,2.5000,25.0000]&55
Mall&[16.2500,0.0000,0.0000,25.0000,22.5000,1.2500,20.0000,5.0000,1.2500,6.2500,25.0000]&98
Platinum Mine&[0,0,0,0,0,0,0,0,0,0,0]&0
Police Station&[19.4444,0.0000,0.0000,25.0000,16.6667,0.0000,11.1111,0.0000,0.0000,5.5556,19.4444]&35
Probe Hull&[25.0000,0.0000,0.0000,21.4286,25.0000,21.4286,17.8571,0.0000,0.0000,21.4286,14.2857]&41
Research Facility&[19.5455,6.3636,5.4545,15.9091,25.0000,10.4545,18.1818,13.1818,10.0000,10.9091,19.0909]&339
School&[25.0000,0.9259,0.0000,20.3704,18.5185,4.6296,0.9259,12.9630,0.0000,1.8519,25.0000]&119
Silver Mine&[25.0000,0.0000,25.0000,25.0000,0.0000,0.0000,25.0000,0.0000,0.0000,0.0000,25.0000]&5
Single Barrel Gun&[13.8889,0.0000,0.0000,25.0000,11.1111,8.3333,5.5556,8.3333,22.2222,2.7778,2.7778]&36
Small Vessel Drive&[20.4545,0.0000,0.0000,25.0000,22.7273,2.2727,9.0909,13.6364,0.0000,18.1818,4.5455]&51
Space Station Hull&[0,0,0,0,0,0,0,0,0,0,0]&0
Surveyor Hull&[25.0000,0.0000,0.0000,19.4444,16.6667,18.5185,23.1481,0.0000,0.0000,12.9630,19.4444]&146
Terraformer&[21.8750,9.3750,6.2500,25.0000,12.5000,18.7500,21.8750,18.7500,3.1250,18.7500,9.3750]&53
Titanium Mine&[16.6667,8.3333,25.0000,16.6667,16.6667,16.6667,16.6667,8.3333,0.0000,8.3333,8.3333]&17
Transport Hull&[16.6667,0.0000,0.0000,25.0000,11.6667,9.1667,14.1667,4.1667,2.5000,9.1667,17.5000]&132
Troop Transport&[0,0,0,0,0,0,0,0,0,0,0]&0
Uranium Mine&[25.0000,0.0000,0.0000,25.0000,25.0000,0.0000,12.5000,0.0000,0.0000,0.0000,12.5000]&8
Well&[20.3125,0.0000,20.3125,25.0000,25.0000,1.5625,0.0000,0.0000,3.1250,1.5625,15.6250]&72
